sessionId,sessionStart,sessionEnd,countId,time,count,location,activities
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35980,"2016-03-01 12:23:54",1,"Public/StudyRooms (26)","[78]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35981,"2016-03-01 12:23:59",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35982,"2016-03-01 12:24:01",1,"Public/StudyRooms (26)","[78]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35983,"2016-03-01 12:24:02",1,"Public/StudyRooms (26)","[78]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35984,"2016-03-01 12:24:04",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35985,"2016-03-01 12:24:09",1,"Public/StudyRooms (26)","[78]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35986,"2016-03-01 12:24:10",1,"Public/StudyRooms (26)","[78]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35987,"2016-03-01 12:24:11",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35988,"2016-03-01 12:24:14",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35989,"2016-03-01 12:24:16",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35990,"2016-03-01 12:24:17",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35991,"2016-03-01 12:24:18",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35992,"2016-03-01 12:24:20",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35993,"2016-03-01 12:24:22",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35994,"2016-03-01 12:24:23",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35995,"2016-03-01 12:24:25",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35996,"2016-03-01 12:24:26",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35997,"2016-03-01 12:24:27",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35998,"2016-03-01 12:24:29",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35999,"2016-03-01 12:24:30",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",36000,"2016-03-01 12:24:33",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",36001,"2016-03-01 12:24:34",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",36002,"2016-03-01 12:24:35",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",36003,"2016-03-01 12:24:38",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",36004,"2016-03-01 12:24:39",1,"Public/StudyRooms (26)","[79]"
